      1      1   2124   12.9717       14  21   2  12   3  18
      2      1   2177   12.5497       10  22   2   8   3  19
      3      1   3221   12.5731       21  27   2  19   4  23
      4      1   3182   12.3230       20  20   2  18   3  17
      5      1   1095   13.1589        7   6   2   5   2   4
      6      1   2751   12.4883       21  13   4  17   0  13
      7      1   2695   13.1230       16  16   3  13   2  14
      8      1   1462   13.1006       11  10   0  11   2   8
      9      1   5521   12.3825       31  40   5  26   5  35
     10      1   2074   12.9883       12  21   1  11   4  17
     11      1   3126   12.7860       18  20   7  11   2  18
     12      1   2492   13.1639       17  13   1  16   1  12
     13      1   1995   12.7908       18  10   4  14   2   8
     14      1   2772   13.1638       16  23   0  16   5  18
     15      1    520   12.8078        2   3   1   1   2   1
     16      1   1801   12.9408       15  11   3  12   0  11
     17      1   2959   12.4273       23  13   2  21   2  11
     18      1   3676   12.3818       29  26   3  26   4  22
     19      1   2176   13.0943       15  15   2  13   2  13
     20      1   2034   12.9151       13   9   1  12   0   9
     21      1   2282   12.9324        8  23   1   7   4  19
     22      1   2844   12.7840       15  19   2  13   3  16
     23      1   5277   12.3035       28  27   1  27   2  25
     24      1   3658   12.7484       21  20   1  20   0  20
     25      1   2329   12.9277        9  15   0   9   0  15
     26      1   2035   12.3304       12  14   2  10   2  12
     27      1   1775   12.3747       13  12   1  12   3   9
     28      1   4647   12.5575       36  24   3  33   1  23
     29      1   2912   12.9394       17  18   1  16   0  18
     30      1   2846   13.0289       14  23   1  13   4  19
     31      1   1105   12.8509        8   5   2   6   0   5
     32      1   1606   12.5545       14  13   4  10   1  12
     33      1   1774   12.6450       12  14   2  10   3  11
     34      1   3078   12.7659       18  21   4  14   2  19
     35      1   3228   12.6089       14  32   1  13   6  26
     36      1   1089   12.9300        8   7   3   5   2   5
     37      1   3478   12.7737       21  23   0  21   1  22
     38      1   2661   12.8230       18  18   2  16   3  15
     39      1   1955   13.2197       14  11   2  12   0  11
     40      1   2596   12.9452       16  16   4  12   1  15
     41      1   2736   12.8735       18  16   2  16   1  15
     42      1   4768   12.6330       24  33   2  22   2  31
     43      1   2145   13.1320       16  16   3  13   3  13
     44      1   3068   12.4749       19  23   3  16   2  21
     45      1   1811   12.9910       10  10   0  10   2   8
     46      1   4543   12.4095       30  27   0  30   4  23
     47      1   3831   12.7351       29  24   5  24   2  22
     48      1   2252   12.7892       12  14   0  12   1  13
     49      1   4071   13.1571       22  22   3  19   1  21
     50      1   2498   12.3651       15  16   1  14   4  12
